Username,Tweet,Sentimen
detikcom,koordinator ppkm darurat sekaligus menko marves luhut pandjaitan mengatakan mobilitas masyarakat menurun masa ppkm darurat https syyxuelg7r, positif
gatracom,efektivitas ppkm darurat tinggi kata bupati bogor https xxvdmnaupe, positif
era indonesia,panjangin atau nih guys https fo0ydkdjpc, netral
inilahcom,ppkm darurat duit bansos rp300 ribu gak nendang https rlcwyfk8uq, negatif
sekretariat kabinet,keterangan pers menteri koordinator bidang kemaritiman dan investasi luhut binsar pandjaitan mengenai evaluasi pelaksanaan ppkm darurat sabtu 2021 lensakabinet kemenkomarves https 3nlpnmv49f, positif
polsek genuk polrestabes semarang,bantuan ppkm darurat berjuang bersama melawan covid polrestabes semarang wilayah hukum polsek genuk pada sabtu divhumas polri bidhumasjateng humastabessmg https t5qgrd3z1q, positif
ⓜ️🅰️❎, pei prillie ndrews110611 dangdutempire kurawa militannkri01 waktu akan menjawab teruskan saja ppkm darurat itu mari kita lihat sampai dimana kesabaran rakyat menghadapinya, netral
raka,atay ppkm darurat diperpanjang sampai koreanbobadream sadar https xmigtg8zuy, negatif
️️️️ ️️️️️️,pakar usul ppkm darurat diperpanjang sampai ponytail vernon terealisasikan, negatif
elshinta news online,luhut keputusan perpanjangan ppkm darurat diumumkan hari lagi https hcnyu0knzo, netral
ur.bpkbcilegon,ayo bersatu sukseskan ppkm darurat covid jaga protokol kesehatan dan sebarkan semangat berbagi untuk membantu saudara saudara kita yang membutuhkan satlantasrescilegon https fvok56myrp, positif
info padang,mulai besok kota pariaman berlakukan ppkm darurat seluruh destinasi wisata ditutup https duwzwyehxb, negatif
kopi luwak original, tribunnews psbb maaf ppkm maaf ppkm darurat maaf dan ppkm darurat perpanjangan juga minta maaf, negatif
asushana,pedagang kecil memang paling banyak kena dampak dari ppkm darurat ini terimakasih orang baik https zatsyazjap, positif
hery08, firzahusain perbanyak rumkit covid darurat gencarkan vaksin tempat padat penduduk klo ppkm malah akan menyengsarakan rakyat kecil cari rejeki jalan dan bisa memicu amarah rakyat kecil, negatif
arianto deni c.k., dpd gmni evaluasi besar ppkm darurat jatim gubernur diharapkan punya jurus mutakhir https nwol8o7pot, positif
mantap,ketua pwnu jatim mengajak masyarakat untuk patuh dan mendukung ppkm darurat juli 2021 bapak marzuki mustamar kediri kota baik beriman amanah inovatif kondusif kedirikotabaik divhumas polri humaspoldajatim https aydqeoblbn https 18xorqhb9r, positif
zetira wor,klentik kita kobel sampe kencing berulang kali kalo kita maubtidur harus disiksa seperti iru selama ppkm darurat kedai kopi gow buka sampe tengah malam nyiksa gue dulu setiap malam daribtempat itu kita bohong berani sumpah atas alquran, negatif
reformasimental, lelaki 5unyi erna st hendrisepta76 ppkm darurat itu tetapkan pemerintah pulau jawa dan bali lah kok diluar jawa dan bali lebih beringas penerapan ppkmnya ada apa ini, negatif
rakyat jelata,nyuruh stay dirumah nyuruh pake masker double nyuruh taat ppkm tapi ngluarin dana ogah seperti ini kondisi darurat militer atau kaganga lek duit, negatif
mantap,ketua pwnu jatim mengajak masyarakat untuk patuh dan mendukung ppkm darurat juli 2021 bapak marzuki mustamar kediri kota baik beriman amanah inovatif kondusif kedirikotabaik divhumas polri humaspoldajatim https aydqeoblbn, positif
kecamatan kiaracondong | #bandungnuurang209,pelaksanaan operasi ppkm darurat sekitaran wilayah kerja kec kiaracondong sabtu https 4wyqxscpzr, netral
tabloid poros indonesia.,forkopimka pulosari bersama polsek pulosari gelontorkan terus bantuan sembako saat ppkm darurat https tdfva9u1tq lewat porosindonesia, positif
nininrider, dennysiregar7 jokowi den sore abis muter2 jalan2 sore daerah kembangan green garden pesing masih rame malah bnyk nonton hewan kurban bnyk anak kecil diajak orgtuanya ppkm darurat kayaknya hanya nama saja kenyataan masih seperti kmrn2 dibatalkan atau terus jalan podo wae, negatif
kabupaten ciamis,evaluasi ppkm darurat wakil bupati ciamis ikuti arahan gubernur ridwankamil jabarprovgoid diskominfojabar humasjabar jokowi https xwwgfejedg, positif
pemerintah kota manado,walikota manado bpk andrei angouw mengikuti video conference dalam rangka rapat koordinasi evaluasi dan pembahasan perpanjangan pelaksanaan ppkm mikro diperketat dan ppkm darurat aars manado sulut https g3catyfvxt, netral
humas polsek sanden,dalam rangka menindaklanjuti instruksi kapolri terkait pemabagian bansos masa ppkm darurat polres bantul dipimpin kapolres bantul membagikan paket sembako kepada pedagang kaki lima angkringan dan masyarakat yang terdampak pandemi covid https w6jwukiaka, positif
media indonesia,bulan depan pemerintah targetkan juta orang divaksin per hari pemerintah sendiri sedang melakukan evaluasi terhadap ppkm darurat apakah dengan jangka waktu ini diperlukan perpanjangan lebih lanjut atau tidak https pcxafaj0sr, positif
merdeka.com,panglima tni budayakan bermasker dan isolasi mandiri untuk melawan covid hal tersebut disampaikan panglima tni saat meninjau posko ppkm darurat peninjauan gudang obat dan pelepasan bantuan sembako bagi masyarakat terdampak ppkm darurat gedangan https jeytgc41yi, positif
sepertiga malammu✨,ppkm darurat diperpajang, negatif
polsek wonotirto,dalam pelaksanaan ppkm darurat ini kapolri menyatakan bahwa polri akan membantu memberikan bantuan sosial kepada warga percepatdistribusibansos berbagi disaat pandemi polisi jatim https vgrxtv3mgu, positif
abdul latif,pemerintah melalui pak lbp telah meminta maaf kepada seluruh rakyat indonesia terkait penanganan ppkm darurat yang belum optimal, positif
humas polsek dringu, presiden indonesia joko widodo jokowi menginstruksikan kepada jajaran tni polri untuk segera menyalurkan bantuan sosial bansos ppkm darurat kepada masyarakat yang terdampak seluruh indonesia polripresisi polripeduli probolinggo polripresisi jatimbangkit https o5qp5aicyf, positif
suijar, amflife veritasardentur saya sepakat krn indonesia kurang hal masyarakat kurang sadar prokes pemerintah kurang tegas dalam penegakan aturan mau dibikin aturan strict masking policy sangat ketat pun jika eksekusinya seperti ppkm darurat skrng akan efektif sama sekali, negatif
pinaapinotttttt,situasi malam minggu masa ppkm darurat season istri nonton voice suami nonton stranger from hell, netral
humas polsek sanden,dalam rangka menindaklanjuti instruksi kapolri terkait pemabagian bansos masa ppkm darurat polres bantul dipimpin kapolres bantul membagikan paket sembako kepada pedagang kaki lima angkringan dan masyarakat yang terdampak pandemi covid https x9jb3davit, positif
biawak gondrong,satgas covid selama ppkm darurat tempat ibadah tidak mengadakan ibadah berjemaah ppkm pulihkan bangsa https qjueekqrdl, negatif
adi pacitan🇮🇩🇮🇩🇮🇩, aewin86 pas pilpres mati dukung jokowi pas ada ppkm darurat seperti penjahat yang dijadikan buronan ada seperti itu ada banyak, negatif
media komando bhayangkara,polri jelaskan perbedaan ppkm darurat dengan pembatasan idul adha https vmtmq7fopy, netral
cakrawala rafflesia,pesan mendagri untuk aparat penertiban ppkm darurat jangan sampai emosi https 54srx6stll, positif
trxsh,ppkm darurat diperpanjang sampai dia kembali, negatif
biawak gondrong,demi keadilan ustadz haikal hassan tolak masjid ditutup selama ppkm darurat ppkm pulihkan bangsa https rxrxygkori, negatif
stand against tyrant,berita sabtu juli 2021 dalam ratas ppkm darurat https zf3k9uecon, netral
biawak gondrong,ppkm darurat pemerintah salurkan bansos bulan juli 2021 ppkm pulihkan bangsa https 4ttnn7nzyy, positif
mtvayek, sandiuno hebat pak mentri anak beranak dpt gelar tengah rakyat menderita kelaparan karna ppkm darurat rakyat lagi menangis pak mentri lagi bahagia inilah salah satu contoh sekian banyak contoh pertontonkan negeri ini mana naluri nya pak mentri, negatif
polsek wonotirto,kapolri bersama panglima tni melakukan penyerahan bantuan sosial bagi masyarakat yang terdampak ppkm darurat percepatdistribusibansos berbagi disaat pandemi polisi jatim https 1qw6ichfnl, positif
budhi pamungkas, areajulid ppkm darurat reborn, negatif
heri pramono,coba pak luhut anda mengundurkan diri dari bersama yang lain coba memberi kesempatan kepada para ahli untuk menangani masalah corona dicoba pak saya yakin akan lebih baik https zjitd0jc4i, positif
detikfinance,menteri sosial mensos tri rismaharini menerima sejumlah aduan dari warga yang tak mendapatkan bantuan sosial bansos selama ppkm darurat https xlx9nu1lg3, negatif
medcomid,jokowi instruksikan perpanjangan ppkm darurat dikaji matang https fqklgbhxah, positif
akuratco,menko bidang kemaritiman dan investasi luhut binsar pandjaitan meminta maaf kepada seluruh rakyat indonesia soal ppkm darurat luhut meminta maaf jika ppkm darurat jawa bali masih belum optimal dalam penerapannya simak berita selengkapnya website akuratco https wrilyn3dck, negatif
nama tidak boleh kosong, stevaniehuangg maka dengan ini kami tegaskan bahwa ppkm darurat akan diperpanjang sampai bulan kedepan wkwkwkwkw, negatif
wiber melayu, petanirasional tingginya harga tingkat pengecer akibat ppkm darurat, negatif
crys yanto m. siahaan, tyodafirenze apakah kalimat tweet anda benar mewakili pendapat anda ditengah situasi ppkm darurat saat ini, netral
antarasumsel.com,ekonom beberkan dampak ekonomi jika ppkm darurat berlanjut https yq221lp4gx, negatif
rudiarjo pangaribuan,evaluasi ppkm darurat presiden aparat harus tegas dan santun https u6zzv5aodk lewat youtube, positif
polsek wonotirto,kapolri bersama panglima tni terjun blusukan mendatangi rumah warga yang terdampak ppkm darurat untuk menyerahkan langsung bantuan sosial percepatdistribusibansos berbagi disaat pandemi polisi jatim https hdkbf5pevx, positif
pt. jasamarga,mekanisme penyekatan pada lokasi pengendalian mobilitas jalan tol jasa marga group dalam rangka penerapan ppkm darurat https kb4jcaag9x, positif
merdeka.com,polri bagikan paket sembako buruh cuci dan pemulung terdampak ppkm darurat anggota polwan korlantas polri iptu yeni sagala mengatakan ada puluhan paket beras yang dibagikan langsung warga para warga yang menerima bantuan tersebut berprofesi https 5ak8inwhvt, positif
pt. jasamarga,lokasi pengendalian mobilitas jalan tol jasa marga group dalam rangka penerapan ppkm darurat https xxt0r7a1yw, positif
pt. jasamarga, wib tol japek karawang barat 200 arah jakarta diberlakukan penyekatan ppkm darurat, positif
pt. jasamarga, wib tol japek cikarang barat arah cikampek padat diberlakukan penyekatan ppkm darurat cikampek dawuan cikarang cikunir cawang lancar, positif
jalmi lembur wong ndeso, dennysiregar7 jokowi seharusnya denny siregar minta mmbatalkan ppkm darurat hrs minta agar pemerintah sgr mlaksanakan kwajiban nya jgn cuma semangat dlm hak nya aja, positif
detikhealth,epidemiolog dicky budiman kembali mengingatkan betapa pentingnya memperketat pintu masuk indonesia saat ppkm darurat dicky menyebut pintu masuk negara rawan terhadap varian delta https 3wx3d4zzgp, positif
vendra deje,menko marves lbp minta maaf kpd rakyat indonesia soal ppkm darurat jawa bali masih belum optimal pnerapannya pihaknya brusaha keras mnekan kasus covid varian delta indonesia rencana prpanjang ppkm darurat belum diputuskn presiden jokowi mminta ada evaluasi mndalam dulu https m2cp9yeikt, negatif
genpi.co,anak dan menantu menko perekonomian airlangga hartarto menjadi buah bibir lantaran pergi bulan madu jepang saat ppkm darurat ariefpoyuono https z1awbb3vnf, negatif
asmari,foto penutupan ruas jalan kauman semarang selama ppkm darurat https 8daisbnnos semarang blog, netral
batto,ppkm darurat diperpanjang jika dilakukan dengan disiplin akan efektif meredakan penyebaran virus dilema ppkm ekonomi akan melemah tanpa ppkm nyawa taruhannya ppkm korbannya ekonomi lemah tanpa ppkm juga korban nyawa terbanyak adlh masyarakat ekonomi susah, negatif
umar hidayat,masih dalam suasana ppkm darurat mari taat demi kebaikan bersama jokowi tppkemendes halimiskandarnu acongteahasan79 dwirahm54473578 denipermana568 andeswidiansyah cecetajudin24 assayid s saepudinfilya https 4ayz6iesx3, positif
cakbulla, tempodotco ada ppkm darurat aja kasusnya naik terus apa lagi gak ada kasih masukan langsung pemerintah jokowi kemenkesri kemensosri polhukamri biar dijdkan pertimbangan slh satu keputusan menekan penularan covid, positif
polsekadipala, poldajateng polrescilacap pilsekadipala giat patroli sambanhi pedagang kali lima terminal adipala petugas berikan pesan ttg ppkm mikro darurat https j24tvehjqm, positif
niken supraba, kumparan ppkm darurat ibarat apel hanya sedikit yang busuk buang saja bagian busuknya sisa apel yang tidak busuk masih bisa dimakan agar tetap kenyang tambahkan buah lain, positif
polsekpujer,bakti sosial tni polri dalam rangka ppkm darurat wilayah bondowoso https 1vaqivku6z, positif
pemilik mekdi ✨,hampir lebur yok mumpung ppkm darurat dari pada mukulin pkl saran tutup pintu masuk indonesia bandara tutup menhan panglima tni menkes sama pak luhut briefing matangkan target operasi ini sampai kapan selesaikan ini mengenai pertahanan kita, positif
wong ndesoo belajar dadi wong kuto, kurawa gini bang acara ppkm darurat ini jadi korban itu rakyat kecil kita sama tau kok kalau minta acara ppkm darurat ini adalah mreka kaum menengah keatas ketakutan akan corona dan mreka perutnya terjamin sampai turunan, negatif
bandung plularisme,menurut saya indonesia tidak perlu melanjutkan ppkm darurat yang perlu adalah wajib masker dan vaksinasi masal tidak pakai masker diberi sanksi kayak eropa selama semuanya ikut prokes pasti aman, positif
venno🇮🇩🇪🇸,bansos aja sih cukup buat bantu masyarakat didorong dirumah buat ppkm darurat yang miskin oke dapet 300 ribu bansos tunai kayanya cukup yang pengusaha umkm yang kelas menengah menuju krisis gimana make sense sih, positif
rakyat merdeka,naik heli polda sumut sebar ribuan brosur ppkm darurat polda sumatera utara menyebar 000 brosur imbauan untuk mematuhi pemberlakuan pembatasan kegiatan masyarakat ppkm daru https uwmqpamlph https qwbyl3esen, positif
bang mara 🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨,ternyata warga kota medan lebih patuh pada ppkm darurat ini https c4ztifktzj, positif
🇮🇩nkri saklawase,ayo ditunggu langkah nyatanya borong produk umkm dan beri bansos bagi para pelaku umkm berdampak dari ppkm darurat https 0uz2j6p62j, positif
andre,tulisan hacker yang satu ini boljug dan pada dasarnya saya setuju ngga masalah ppkm darurat selama pemerintah mengharuskan asalkan minimal pendapatan perbulan yang biasa didapat oleh rakyat bisa pemerintah penuhi https jos8vkqbm9, positif
a besar,ppkm darurat bikin penghasilan euy modar apalagi bidang transportasi, negatif
kumparan,ppkm darurat dinilai sudah cukup signifikan menurunkan mobilitas masyarakat yang menggunakan transportasi umum kumparannews https eklfxqtdda, positif
eric, teddygusnaidi setop ppkm darurat gencarkan vaksinasi penjarakan provokator anti vaksin aparat tegas menindak pelanggar prokes amp aturan psbb itu aja, positif
iissn4..,psbb sama ppkm bahkan sama aja isinya cuman beda namanya doang tapi kaga ada gunanya anjrit dulu pas psbb heboh banget pemerintan ketat dan blabla karena gagal bisa bikin pandemi mereda akhirnya diganti namanya apalagi ditambah darurat militer, negatif
informasi bola indonesia,hormati ppkm darurat tidak ada perayaan meski viking persib club ulang tahun https erbmxgzxoo, positif
polsek senduro,melalui spkt polsek senduro aipda ribut erry saputra melaksanakan kegiatan patroli dialogis dengan pemilik caffe senduro guna mensosialisasikan ppkm darurat menghadapi pandemi covid https cgr1bodutw, positif
detikfinance, mostpop dengan ppkm darurat diperpanjang sampai akhir juli kata muhadjir presiden jokowi mengakui ada risiko antaranya masalah bantuan sosial atau bansos https vklubezhyj, negatif
kodim 0823 situbondo,koramil 0823 arjasa kompak lakukan patgab bersama satgas ppkm darurat https 1ciuanveso lewat youtube, positif
polsek tugu,ppkm darurat sidoarjo tni polri terjun percepat distribusi bansos https n9y9jnwpr5, positif
edy siregar,para pedagang kecil seperti tukang gorengan hingga martabak sangat terdampak ppkm darurat kerap dirazia satpol terpaksa tetap jualan demi menafkahi keluarga https r0femxwbqb, negatif
jalmi lembur wong ndeso, dennysiregar7 jokowi lbp sdh bilang katanya jokowi pesen jgn sampai ada klaparan sampe ppkm darurat jilid dua umumin kemensos masih sibuk dgn telor rebus, negatif
media indonesia,penyekatan ppkm darurat tidak efektif jokowi cari strategi lain dari hasil evaluasi yang dilakukan kepala negara melihat pelaksanaan ppkm darurat sejauh belum efektif https 4jlvxgxa7j, negatif
infosumut,masa ppkm darurat malam minggu kota medan sepi https lazmcrs4qb, positif
teropong metro,ppkm darurat belum optimal luhut saya minta maaf kepada seluruh rakyat indonesia https wnv50dlp7n lewat teropongmetro, negatif
tribunkaltim.co,berani sentil mahfud yang tuai kontroversi nonton ikatan cinta bintang emon gak perlu cerita cerita https jovtqjejbp via tribun kaltara mahfudmd bintangemon ikatancinta sinetron ppkmdarurat menteri kontroversi twitter, netral
elv and her self,kok pipel pipel ppkm darurat masi berani nongkrong salut, negatif
humas polsek wates,penerapan pemberlakuan ppkm darurat wilayah polsek wates bersama tni fofkompinkap dan gugus covid wates sabtu juli 2021 pukul wib wib https srmcangvj9, netral
pemkot jaksel,berikut panduan ibadah kurban dan shalat iduladha selama masa ppkm darurat sebagai upaya pencegahan pengendalian dan memutus mata rantai penyebaran covid jangan lupa untuk bagikan informasi ini orang terdekatmu sumber dkijakarta kurbanamandansehat https tzn6oon6xk, positif
henrykus sihaloho,kendali atas ppkm darurat https 8f9xnoezvp seraya berterima kasih kpd redaksi https b1goolpts8 atas pemuatan tulisan ini kami mohon izin membagikannya kpd semua sahabat amp kerabat terima kasih banyak doa amp salam ramlirizal teguhtimurcom rmol id indonewsdot id, netral
edy siregar,menteri keuangan sri mulyani indrawati mencatat anggaran program pemulihan ekonomi nasional pen sebelumnya sebesar 699 triliun https u9pgmtwb7h, positif
mojokerto kota,kapolres mojokerto kota akbp rofiq ripto himawan memimpin apel pendistribusian bantuan beras kepada masyarakat pada masa ppkm darurat wilayah hukum polres mojokerto kota bertempat lapangan patih gajah mada polres mojokerto kota bhayangkara https gxgfsztrqk, positif
henrykus sihaloho,kendali atas ppkm darurat https 8f9xnoezvp seraya berterima kasih kpd redaksi https b1goolpts8 atas pemuatan tulisan ini kami mohon izin membagikannya kpd semua sahabat amp kerabat terima kasih banyak doa amp salam ramlirizal teguhtimurcom rmol id indonewsdot id, netral
kodim 0823 situbondo,ppkm darurat anggota kodim 0823 situbondo himbauan sosialisasi kepada warga https cidcyrhbez lewat youtube, positif
polsek_nglipar,masih berlakunya ppkm darurat satgas covid kapanewon nglipar yang pimpin langsung oleh panewu nglipar selaku ketua satgas nglipar melaksanakan patroli penegakan wilayah nglipar dengan menyampaikan himbauan protokol kesehatan dan aturan selama ppkm darurat berlaku https qi23ti7l1f, positif
kompas.com,sejak ppkm darurat diberlakukan persib langsung menghentikan latihan tim sebagai gantinya para pemain tetap diwajibkan menjalani latihan individu https dnnoch0wep, positif
radio elshinta,presiden jokowi menegaskan tegas dan santun harus dikedepankan dalam penertiban ppkm darurat oleh satgas covid bertugas dilapangan talk pakar komunikasi politik universitas pelita harapan emrus sihombing streaming https en7fkcklp5 https 95nsiwza7z, positif
henrykus sihaloho,kendali atas ppkm darurat https 8f9xnoezvp seraya berterima kasih kpd redaksi https b1goolpts8 atas pemuatan tulisan ini kami mohon izin membagikannya kpd semua sahabat amp kerabat terima kasih banyak doa amp salam ramlirizal teguhtimurcom rmol id indonewsdot id, netral
edy bayo regar,luhut saya minta maaf kepada seluruh rakyat indonesia kirain https mr051gnvae https gptnlwntgz, positif
andrei kurniawan, radioelshinta kalau ppkm darurat diperpanjang ekonomi sangat terpuruk masuk jurang resesi, negatif
